utterance,intent,intent1
3 tenet,compensation.what_is_dbs_rewards_philosophy,14
33,internal_mobility.required_years_of_service_for_internal_mobility,103
35000 step much,ihealth.what_is_the_daily_step_caps,91
360 feedback anytime feedback,performance_and_development.anytime_feedback,331
418 mp,payroll.who_is_eligible_under_mpf_scheme,285
5 5 applicable,general_benefits.5_at_5,42
500 flex,iflex.what_can_be_claimed_against_iflex,75
500 flex top,iflex.what_can_be_claimed_against_iflex,75
55 applies whole bank,general_benefits.5_at_5,42
ae,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
ae charge flammable,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
aae questionnaire,hipo_management.i_did_not_receive_the_nomination_aae_questionnaire,54
aae survey,hipo_management.i_did_not_receive_the_nomination_aae_questionnaire,54
ac login credential,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
adp platform download tax form,payroll.view_form_ir8a,268
leave,leave.leave_guidelines,150
pm leave detail application,people_hub.do_i_need_to_indicate_am_or_pm_for_half_day_leave_application,291
ability work horizontally across silo,future_of_work.skills_needed_to_continue_building_career_in_dbs,39
able link db intranet page leave,people_hub.dbs_people_hub,290
guest,talent_management.be_my_guest,438
external training prepared selffund wish ask whether db pay funding getting reimbursement if please,training.external_training_process,459
access card delivery contractor,onboarding.new_hire_staff_pass,213
access card arrived cf,onboarding.new_hire_staff_pass,213
access card level contract staff,onboarding.new_hire_staff_pass,213
access right given contractor,onboarding.new_hire_staff_pass,213
accessing db horizon,training.accessing_dbs_learning_hub,444
accident emergency medical cost,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
activate castle insurance benefit,medical.how_can_i_avail_cashless_hospitalization_benefit,163
add new born baby,staff_info_update.update_dependant_info,419
addition newborn child detail,staff_info_update.update_dependant_info,419
additional expense guideline agency contractor,cwms.contingent_worker_expense,20
additional expense professional contract staff,cwms.contingent_worker_expense,20
additional ongoing help required cf staff,cwms.extensions_or_renewal_in_cwms,25
additional resource timeshift approval cf,cwms.timesheet_and_invoicing_matters_in_cwms,28
exit point contact attending query may,offboarding.offboarding_point_of_contact,198
submit insurance claim get payment,medical.when_will_i_get_the_payment_for_the_insurance_claim,188
agency contract,cwms.what_is_cwms,29
agency contract budget,cwms.cwf_purchase_order,22
agency contract headcount,cwms.cwms_new_request,24
agency contractor,cwms.what_is_cwms,29
agency worker,cwms.what_is_cwms,29
agency contract staff purchase order,cwms.cwf_purchase_order,22
alter start date contingent worker,cwms.assignment_amendments_in_cwms,19
alter start date contract staff,cwms.assignment_amendments_in_cwms,19
confirmed employee staff,onboarding.end_of_probation,207
able apply leave serving notice,leave.can_i_apply_leave_during_notice_period,138
able claim expense seeing physiotherapy,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
able give feedback colleague outside team,performance_and_development.how_to_give_feedback,355
able make claim health checked,iflex.health_screening_claim,68
able make claim health screening,iflex.health_screening_claim,68
able make medical claim tcm,medical.how_to_submit_medical_claim,171
able see staff promo letter,compensation.how_to_view_my_team_compensation_eletters,10
allowed claim medical checked,iflex.health_screening_claim,68
allowed erase skill relevant job,performance_and_development.can_i_delete_skills_that_are_irrelevant_to_me,332
allowed take leave submitted resignation letter,leave.can_i_apply_leave_during_notice_period,138
allowed take leave probation,leave.can_i_apply_leave_during_notice_period,138
allowed take leave trial,leave.can_i_apply_leave_during_notice_period,138
allowed take leave trial period,leave.can_i_apply_leave_during_notice_period,138
allowed take leave serving probation period,leave.can_i_apply_leave_during_notice_period,138
allowed take leave serving trial period,leave.can_i_apply_leave_during_notice_period,138
allowed take leave serving trial period period,leave.can_i_apply_leave_during_notice_period,138
allowed use neonatal care leave newborn appointment doctor eg injection vaccination,leave.criteria_for_neonatal_care_leave,143
allowed use neonatal leave baby yellow fever,leave.criteria_for_neonatal_care_leave,143
complying block leave,leave.can_i_work_during_block_leave,141
eligible esp,training.gesp_eligibility,461
eligible adoption leave,leave.can_i_take_leave,140
eligible annual leave family leave probation,leave.can_i_apply_leave_during_notice_period,138
eligible annual leave family leave trial period,leave.can_i_apply_leave_during_notice_period,138
eligible annual leave family leave trial,leave.can_i_apply_leave_during_notice_period,138
eligible medical benefit,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
eligible baby bonus claim,medical.how_to_claim_baby_bonus,168
eligible baby bonus,medical.how_to_claim_baby_bonus,168
eligible bday leave,leave.can_i_take_leave,140
eligible bonus payout,payroll.what_is_my_bonus_pay_out_computation,274
eligible bonus,payroll.what_is_my_bonus_pay_out_computation,274
eligible full month er contribution leaving bank last day month,payroll.will_there_be_orso_employer_contribution_in_final_payment,286
eligible gravity payment,payroll.gratuity,230
eligible flex benefit,iflex.can_i_know_what_is_my_iflex_entitlement,62
eligible privilege,iprivileges.eligibility_for_staff_banking_privileges,107
eligible leave,leave.can_i_take_leave,140
eligible meal claim,payroll.meal_claim,253
eligible prolong med leave,leave.can_i_take_leave,140
eligible sabbatical leave,leave.can_i_take_leave,140
eligible 150 dental benefit,medical.can_i_make_dental_claims,159
eligible dental benefit,medical.can_i_make_dental_claims,159
eligible claim taxi,payroll.transport_reimbursement,266
eligible ordo contribution resignation,payroll.will_there_be_orso_employer_contribution_in_final_payment,286
eligible apply esp,training.gesp_eligibility,461
eligible apply workman comp got scaled hot water working hour,medical.who_can_i_contact_if_i_injured_myself_at_work,190
eligible claim ot meal allowance,payroll.meal_claim,253
eligible claim ot,payroll.who_can_claim_ot,284
eligible claim transport,payroll.transport_reimbursement,266
eligible claim overtime allowance,payroll.who_can_claim_ot,284
eligible claim overtime meal allowance,payroll.meal_claim,253
eligible claim overtime meal pay,payroll.meal_claim,253
eligible get contract end gravity payment,payroll.gratuity,230
eligible join mp scheme,payroll.who_is_eligible_under_mpf_scheme,285
eligible join rental reimbursement,payroll.what_is_rental_reimbursement,276
eligible submit medical expense,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
entitled hospitalization leave,leave.can_i_take_leave,140
entitled hospitalization leave,leave.can_i_take_leave,140
entitled hospitalizationsick leave,leave.can_i_take_leave,140
entitled ordo contribution last day,payroll.will_there_be_orso_employer_contribution_in_final_payment,286
entitled sra leave,leave.can_i_take_leave,140
entitled flex,iflex.can_i_know_what_is_my_iflex_entitlement,62
entitled transport allowance,payroll.transport_allowance,265
entitled volunteer leave,leave.can_i_take_leave,140
granted neonatal leave bank contract staff,leave.criteria_for_neonatal_care_leave,143
required clear block leave,leave.can_i_take_leave,140
required create profile nonbillable worker,cwms.managed_service_or_resource_tracking_in_cwms,26
required mandatory learning,training.who_is_required_to_complete_the_mandatory_learning,500
required take block leave,leave.can_i_take_leave,140
still able add comment staff year end appraisal deadline,performance_and_development.can_managers_amend_YER_after_deadline,334
eligible ot,payroll.who_can_claim_ot,284
eligible overtime claim,payroll.who_can_claim_ot,284
entitled enhance childcare leave,leave.can_i_take_leave,140
trying look another classroom course horizon course basic credit certification showed active class registration could advise could fulfil training hour year,training.training_suggestion,488
trying submit flex claim receipt receipt number,iflex.how_to_submit_iflex_claim,69
unable launch subject program tried internet explorer chrome,training.cannot_launch_e-learning,451
ambulance available db office location,medical.what_is_ambulance_services,183
amend mp plan,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
amend contract kelly service staff,cwms.assignment_amendments_in_cwms,19
amend performance evaluation,performance_and_development.how_to_add_or_edit_my_goals,350
amending contract cm,cwms.assignment_amendments_in_cwms,19
amending external contractor end date,cwms.termination_or_cancellation_in_cwms,27
amount gravity,payroll.gratuity,230
go payment medical bill bill go directly bank need pay first submit medical claim subsequently,medical.how_do_i_go_about_paying_my_medical_bills,166
go payment bill go directly bank similar gp expense need pay first submit medical claim subsequently,medical.how_do_i_go_about_paying_my_medical_bills,166
ann applying spec card renewal requires official letter company sample attached could help issue letter,standard_letter_request.can_i_request_dbs_to_generate_letter_to_apply_for_apec_travel_card,430
annex form 4a,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,425
annual health screening,general_benefits.annual_health_screening,43
annual leave,leave.leave_guidelines,150
annual leave carry forward,leave.can_i_carry_forward_my_leave,139
annual leave entitlement application,leave.can_i_take_leave,140
annual leave entitlement apply,leave.can_i_take_leave,140
annual wage supplement,payroll.annual_wage_supplement,217
annual leave entitlement,leave.can_i_take_leave,140
annual leaf year,people_hub.what_is_my_leave_balance,329
annual level carry forward policy,leave.can_i_carry_forward_my_leave,139
asset misplaced hold ff,offboarding.offboarding_point_of_contact,198
form personal loan,iprivileges.how_to_apply_for_staff_personal_loan,111
mp contribution cap amount,payroll.how_to_view_my_mpf_contribution_amount,244
mp tax benefit,payroll.taxability_of_employee_voluntary_contribution,263
calculation formula maternity leave pay,payroll.maternity_leave_pay_calculation,252
change salary maternity leave,payroll.maternity_leave_pay_calculation,252
checklist offboarding,offboarding.offboarding_point_of_contact,198
education loan staff kid,iprivileges.further_assist_loan_for_employees_children,108
exemption cfa holder,training.can_i_be_exempted_from_dbs_credit_certification,447
exemption cfa holder,training.can_i_be_exempted_from_dbs_credit_certification,447
form fill order close ordo account,payroll.orso_vested_benefits_upon_separation_from_the_bank,257
formula calculate eo adj,payroll.how_to_calculate_employment_ordinance_adjustment,235
formula calculate eo adjustment,payroll.how_to_calculate_employment_ordinance_adjustment,235
formula calculate employment ordinance adjustment,payroll.how_to_calculate_employment_ordinance_adjustment,235
guideline ot approval delegation,payroll.how_to_delegate_ot_allowance,239
half day 3112,leave.leave_guidelines,150
handling fee training record request,training.training_hours,487
leave compensated deepavali holiday,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147
maximum hour ot claim,payroll.how_to_compute_overtime,237
number limitation changing mp fund eg per day twice year,payroll.how_to_change_my_mpf_investment_fund_choices,236
program staff apply rental reimbursement,payroll.how_to_apply_for_rental_reimbursement_scheme,233
query national holiday payout contact,payroll.i_have_not_received_my_allowances_,247
rank restriction claim ot meal allowance,payroll.meal_claim,253
rank restriction claim ot meal pay,payroll.meal_claim,253
rank restriction claim overtime allowance,payroll.who_can_claim_ot,284
rank restriction claim overtime meal allowance,payroll.meal_claim,253
reimbursement pertaining non ctc claim poc,payroll.i_have_not_received_my_allowances_,247
special arrangement ordo employer contribution last month salary,payroll.will_there_be_orso_employer_contribution_in_final_payment,286
specific location daycare enrollment,general_benefits.daycare_partners_reimbursement_policy,45
tax exemption made mp employee contribution,payroll.taxability_of_employee_voluntary_contribution,263
tax exemption made ordo employee contribution,payroll.taxability_of_employee_voluntary_contribution,263
term condition gravity payment,payroll.gratuity,230
testing scale ordo employee contribution,payroll.what_is_the_orso_vesting_scale,280
way approve allowance long leave,payroll.how_to_delegate_ot_allowance,239
way approve allowance access bank network,payroll.how_to_delegate_ot_allowance,239
website form mp investment switching,payroll.how_to_change_my_mpf_investment_fund_choices,236
anytime feedback,performance_and_development.anytime_feedback,331
application exam leave,leave.can_i_take_leave,140
application staff vehicle loan,iprivileges.how_to_apply_for_staff_car_loan,110
application jury service leave,leave.can_i_take_leave,140
application profanity leave,leave.can_i_take_leave,140
application volunteer leave,leave.can_i_take_leave,140
application form changing ordo investment fund,payroll.can_i_change_my_orso_investment_fund_choices,220
application form changing ordo voluntary rate,payroll.can_i_change_my_orso_voluntary_contribution_rate,221
application process access card,onboarding.new_hire_staff_pass,213
application process staff pas,onboarding.new_hire_staff_pass,213
application extend contingent employment contract,cwms.extensions_or_renewal_in_cwms,25
application hire contingent worker,cwms.cwms_new_request,24
applied leave day,leave.leaves_of_direct_reports,151
apply marriage leave,leave.can_i_take_leave,140
apply flex,iflex.how_to_submit_iflex_claim,69
apply shared parental leave,leave.can_i_take_leave,140
appointing delegate cm,cwms.approvals_and_delegation_in_cwms,18
appointment see hr,general_benefits.who_is_my_hr_rm,51
appreciate advise claim overtime payment following date,payroll.how_to_submit_ot_and_allowances,243
appreciate advice process requesting letter applying spec card,standard_letter_request.can_i_request_dbs_to_generate_letter_to_apply_for_apec_travel_card,430
appreciate assistance complete attached ep152 certificate employment letter controller immigration sg permanent resident application approved,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,425
approval delegation agency contract,cwms.approvals_and_delegation_in_cwms,18
approval delegation decline,cwms.approvals_and_delegation_in_cwms,18
approval delegation professional contract,cwms.approvals_and_delegation_in_cwms,18
approval guide cm,cwms.approvals_and_delegation_in_cwms,18
approve goal development plan,performance_and_development.how_to_review_and_approve_goals_in_people_hub,360
approve or,performance_and_development.how_to_approve_on-going_review,352
medical card useful,medical.what_is_an_e-card,184
compliance hour promoted left course halfway,training.will_i_get_compliance_hours_if_i_leave_have_left_halfway_through_the_course,501
medical leave promoted new hire,leave.leave_guidelines,150
nominee talent programme,hipo_management.are_my_nominees_in_the_talent_programme,52
new hire allowed join guest,talent_management.eligibility_for_be_my_guest_program,439
new joined expected go certification,training.deadline_to_complete_credit_certification,458
new joined expected go credit certification,training.deadline_to_complete_credit_certification,458
overseas medical claim accepted,medical.are_overseas_medical_claims_accepted,156
preemployment check applicable temp staff,cwms.cwf_pre_employment_screening,21
talent given chance compared others,hipo_management.what_happens_to_high_potentials,56
so unit transferred share encased fully cash bank account,shares.what_happens_to_my_sos_units,406
account type eligible salary crediting account,staff_info_update.how_can_i_change_my_salary_crediting_account,411
compliance requirement need meet,training.training_hours,487
criterion must fulfil join guest programme,talent_management.eligibility_for_be_my_guest_program,439
guideline discretionary bonus,payroll.what_is_my_bonus_pay_out_computation,274
mandatory learning course need complete,training.who_is_required_to_complete_the_mandatory_learning,500
mandatory learning need complete lm,training.who_is_required_to_complete_the_mandatory_learning,500
option save tax comp structure,payroll.how_to_avail_flexi_pay_plan,234
panel doctor near home,medical.where_can_i_view_the_list_of_panel_clinics,189
charge enrolment partial training attendance,training.are_there_charges_for_re-enrolment_for_partial_training_attendance,446
daily step cap put place within app,ihealth.what_is_the_daily_step_caps,91
implication work location tagging cf,cwms.work_location_tagging_for_cwf,30
able claim travel insurance personal travel insurance holiday using flex,iflex.what_can_be_claimed_against_iflex,75
able transfer outstanding so unit share withdraw available unit,shares.what_happens_to_my_sos_units,406
allowed host guest team,talent_management.host_a_be_my_guest_opportunity,440
allowed grandfather experience staff new hire 15 year experience,training.can_i_be_exempted_from_dbs_credit_certification,447
still entitled dividend share,shares.dividends_from_ishares,393
weekend excluded maternity leave entitlement,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph,146
able advise increase decrease opt community chest donation,payroll.i_would_like_to_increase_decrease_opt_out_the_community_chest_donation_,248
able assist n makeup pay,payroll.ns_make_up_pay,256
able assist prepare visa invitation letter,standard_letter_request.can_i_request_dbs_to_generate_invitation_letter_for_me,429
arrangement ordo benefit withdrawal,payroll.withdrawal_of_orso_vested_benefits,287
arrangement short notice,payroll.how_to_compute_salary-in-lieu_of_notice,238
arrangement new hire prior boarding,onboarding.arrangements_for_new_hire_prior_to_onboarding,203
arrangement new hire prior joining,onboarding.arrangements_for_new_hire_prior_to_onboarding,203
db positioning tech company bank evaluate compensate tech people based skillsets technology contribution db product,compensation.how_does_the_bank_achieve_market_competitiveness,4
pr need inform anyone tax clearance,payroll.tax_clearance_for_spr,262
need apply lt one family member ica requires latest employment letter employer,standard_letter_request.can_i_request_dbs_to_generate_a_letter_for_ltvp_application,422
would like testimony 30 year service db arrange 1,standard_letter_request.can_i_request_dbs_to_generate_testimonial,432
would like participate db staff promotion additional 1 interest would able tag salary crediting account po saving account staff indicator please,iprivileges.how_to_apply_for_staff_banking_privileges,109
im applying citizenship ica requires db issue letter employment addressed commissioner ica stating occupation date commencement basic gross monthly salary,standard_letter_request.can_i_request_dbs_to_generate_a_letter_for_singapore_citizenship_application,423
country manager wait functional manager complete manager evaluation submit mine,performance_and_development.country_and_functional_manager_evaluation_during_pd,340
functional manager give rating comment employee yer,performance_and_development.role_of_functional_manager_during_performance_and_development,378
functional manager make sure complete manager evaluation ahead country manager,performance_and_development.country_and_functional_manager_evaluation_during_pd,340
functional manager view country manager comment completed manager evaluation since employee yer longer people hub index,performance_and_development.country_and_functional_manager_evaluation_during_pd,340
functional manager give comment employee pdr,performance_and_development.how_to_complete_manager_yer_evaluation,353
pr last pay subject tax clearance,payroll.tax_clearance_for_spr,262
country manager notified employee receives feedback,performance_and_development.did_my_manager_initiate_a_get_feedback_for_me,341
guest program,talent_management.what_is_expected_from_guest_in_be_my_guest,443
manager im going long leave boy period,performance_and_development.manager_on_long_leave_and_approval_of_pd,368
manager im going long leave yer period,performance_and_development.manager_on_long_leave_and_approval_of_pd,368
manager im going long leave boy period,performance_and_development.manager_on_long_leave_and_approval_of_pd,368
manager im going long leave er period,performance_and_development.manager_on_long_leave_and_approval_of_pd,368
manager get feedback direct report,performance_and_development.getting_feedback_for_performance_review,343
yet receive new staff pas,onboarding.new_hire_staff_pass,213
discussed please add new utterance train,payroll.relevant_income_under_mpf,261
esp email application hr,training.gesp_application,460
yer doc tagged new bos previous mgr able give feedback trn team,performance_and_development.manager_evaluation_for_new_hire_and_transfer_case,367
grand law passed away morning spread 5 day compassionate leave instead taking continuously,leave.when_can_i_start_my_compassionate_leave,155
mar 2022 able sell transfer share contribution matching earned 3 year period feb 2019 feb 2022 without losing matching share,shares.how_does_ishares_work,396
part permanent residency application ica requiring completed form ep152 certificate employment,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,425
ask hr hotline,general_benefits.who_is_my_hr_rm,51
attached endorsed kinda opt form please let know send,payroll.i_would_like_to_opt_out_change_the_monthly_contributions_for_cdac_sinda_mbmf_ecf,249
available hospital go cashlesss hospitalization,medical.how_can_i_avail_cashless_hospitalization_benefit,163
awarded it point tax,itq_and_wetq.awarded_itq_points_and_tax,125
block leave many day,leave.leave_guidelines,150
bmw asiaperformance motor singapore offer 5year warranty free service new bmw car purchase db staff require letter bank stating employed db may request letter please,standard_letter_request.can_i_request_dbs_to_generate_letters_to_performance_motors_for_me,431
bmw letter,standard_letter_request.can_i_request_dbs_to_generate_letters_to_performance_motors_for_me,431
backdated annual leave,leave.can_i_apply_back_dated_leave,137
background check decline,cwms.cwf_pre_employment_screening,21
balance leave,leave.can_i_take_leave,140
balance mm,payroll.what_is_mmb_and_excess_mmb,273
balance minimum mp benefit,payroll.what_is_mmb_and_excess_mmb,273
bank charging high premium rate voluntary medical plan,medical.why_voluntary_medical_plan_premium_is_higher,193
bankruptcy check cm,cwms.cwf_pre_employment_screening,21
bankwide mandatory training cf,training.who_is_required_to_complete_the_mandatory_learning,500
baptism leave,leave.leave_guidelines,150
guest,talent_management.be_my_guest,438
guest eligibility,talent_management.eligibility_for_be_my_guest_program,439
guest expectation,talent_management.what_is_expected_from_guest_in_be_my_guest,443
guest guideline,talent_management.be_my_guest,438
guest program,talent_management.be_my_guest,438
decline,cwms.what_is_cwms,29
decline 1banked application,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
decline change pc code,cwms.assignment_amendments_in_cwms,19
decline hiring,cwms.cwms_new_request,24
decline new headcount,cwms.cwms_new_request,24
decline new worker,cwms.cwms_new_request,24
decline delegation,cwms.approvals_and_delegation_in_cwms,18
decline extension contract worker,cwms.extensions_or_renewal_in_cwms,25
decline involving,cwms.timesheet_and_invoicing_matters_in_cwms,28
decline support,cwms.what_is_cwms,29
decline system,cwms.what_is_cwms,29
decline timesheets,cwms.timesheet_and_invoicing_matters_in_cwms,28
benefit share,shares.what_is_ishares,407
benefit card,medical.what_is_an_e-card,184
benefitsinkind form ir8e,payroll.benefits-in-kind_in_form_ir8e,218
benefit flex plan,payroll.how_to_avail_flexi_pay_plan,234
birthday time guideline,leave.leave_guidelines,150
birthday leave must taken,leave.can_i_take_leave,140
block leave,leave.leave_guidelines,150
block leave rule,leave.can_i_work_during_block_leave,141
block leave taken reflected system,leave.what_can_be_considered_as_block_leave,153
bonus need contribute mp,payroll.relevant_income_under_mpf,261
spouse working db new parent avail neonatal care leave together,leave.criteria_for_neonatal_care_leave,143
budget allocation cm,cwms.cwf_purchase_order,22
budget given external contract staff,cwms.cwf_purchase_order,22
budget headcount request,people_hub.how_to_create_job_requisition_in_people_hub,304
budgeted new headcount request,people_hub.how_to_create_job_requisition_in_people_hub,304
tcm treatment referred rifle hospital orthopedic surgeon inflammation archive tendon referral letter shouldnt enable claim full,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
need utilise previous year flex entitlement,iflex.can_my_iflex_be_carried_forward_to_next_year,64
must enroll skillsflex course interested,training.what_is_the_official_cut-off_date_and_time_for_course_registration,495
must enroll training course,training.what_is_the_official_cut-off_date_and_time_for_course_registration,495
staff know talent programme,hipo_management.are_my_nominees_in_the_talent_programme,52
cbs check decline,cwms.cwf_pre_employment_screening,21
cbs clearance cm,cwms.cwf_pre_employment_screening,21
ce hour,training.training_hours,487
cfa claim,training.training_claims,484
cfa holder must also credit certificate training,training.can_i_be_exempted_from_dbs_credit_certification,447
check medical plan coverage,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
ccc login detail,training.how_to_enrol_for_certificate_of_commercial_credit,472
cm examination claim,training.how_to_claim_cmfas_exam,470
any,leave.list_of_public_holidays,152
corporate credit risk learning roadmap,training.who_is_my_business_learning_partner,499
cpd hour,training.training_hours,487
cpd report,training.training_hours,487
cf additional wage,payroll.cpf_and_additional_wages,223
cf contribution rate,payroll.cpf_contribution_rates,224
cf refund letter,payroll.cpf_refund_letter,225
cf additional wage,payroll.cpf_and_additional_wages,223
cf additional wage,payroll.cpf_and_additional_wages,223
cf contribution rate singapore permanent resident,payroll.cpf_contribution_rates,224
cf payable flex claim,iflex.for_iflex_claim_that_is_cpf_payable__will_dbs_contribute_employers_portion_to_cpf,66
cf payment staff,payroll.cpf_contribution_rates,224
cpt hour record,training.training_hours,487
cf,cwms.what_is_cwms,29
cf 1banked matter,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
cf 1bank account login access,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
cf access control management,onboarding.new_hire_staff_pass,213
cf bank wide mandatory training,training.who_is_required_to_complete_the_mandatory_learning,500
cf budget allocation expense,cwms.contingent_worker_expense,20
cf expense allocation,cwms.contingent_worker_expense,20
cf expense,cwms.contingent_worker_expense,20
cf misc fee expense,cwms.contingent_worker_expense,20
cf boarding duration,cwms.cwf_service_level_agreement,23
cf pc code amendment,cwms.assignment_amendments_in_cwms,19
cf po,cwms.cwf_purchase_order,22
cf pr,cwms.cwf_purchase_order,22
cf request id,cwms.cwms_new_request,24
cf acquisition,cwms.cwms_new_request,24
cf staff location update,cwms.work_location_tagging_for_cwf,30
cf staff tagging decline,cwms.work_location_tagging_for_cwf,30
cf transport expense,cwms.contingent_worker_expense,20
cf work country decline process,cwms.work_location_tagging_for_cwf,30
cf work location tag system,cwms.work_location_tagging_for_cwf,30
cf hm different location,cwms.work_location_tagging_for_cwf,30
cf contractor termination date,cwms.termination_or_cancellation_in_cwms,27
cf contractor expense guideline,cwms.contingent_worker_expense,20
cf leaving early system,cwms.termination_or_cancellation_in_cwms,27
cm,cwms.what_is_cwms,29
cm faq,cwms.what_is_cwms,29
cm learning hub,training.who_is_required_to_complete_the_mandatory_learning,500
cm timeshift submission,cwms.timesheet_and_invoicing_matters_in_cwms,28
cm workflow,cwms.what_is_cwms,29
cm approval,cwms.approvals_and_delegation_in_cwms,18
cm delegation,cwms.approvals_and_delegation_in_cwms,18
calculate payment lieu notice,payroll.how_to_compute_salary-in-lieu_of_notice,238
calculation eo adjustment,payroll.how_to_calculate_employment_ordinance_adjustment,235
calculation eo wage,payroll.how_to_calculate_employment_ordinance_adjustment,235
calculation employment ordinance adjustment,payroll.how_to_calculate_employment_ordinance_adjustment,235
calculation employment ordinance wage,payroll.how_to_calculate_employment_ordinance_adjustment,235
calculation premium insurance,medical.premium_rates_for_dbs_group_medical_and_life_insurance_benefits,181
called enquiry early pay hari ray hai,payroll.festive_early_pay,229
air flight ticket reimbursed,iflex.what_can_be_claimed_against_iflex,75
analyst apply ot meal claim,payroll.meal_claim,253
functional manager initiate or functional direct report,performance_and_development.can_managers_initiate_ogr_for_their_direct_reports,336
hr assist preparing letter required ica pr application,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,425
hr assist leave delegation manager behalf,people_hub.how_to_delegate_leave_rights_in_people_hub,305
hr help modify leave delegation,people_hub.how_to_correct_leave_delegation_in_people_hub,302
hr help approve training manager absence,training.manager_on_leave_and_course_approval_in_dbs_learning_hub,476
hr prepare letter,standard_letter_request.can_hr_prepare_a_letter_for_me,421
hr update ot approved,payroll.overtime_system_approver_is_not_updated,258
add edit goal,performance_and_development.how_to_add_or_edit_my_goals,350
avail castle hospitalization benefit emergency,medical.how_can_i_avail_cashless_hospitalization_benefit,163
change mp scheme ordo scheme,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
give feedback manager able see,performance_and_development.is_my_feedback_anonymous,365
progress next credit certification level,training.can_i_progress_to_the_next_credit_certification_level,448
stop pf contribution,payroll.vpf_contribution,270
submit investment proof filing return,payroll.how_to_submit_my_investment_proofs,242
update development plan submission,performance_and_development.can_i_update_my_development_plan_after_submission,333
withdraw gravity 3 year,payroll.gratuity,230
access medical statement,medical.how_to_get_my_medical_statement,169
active staff get leave encased getting lapsed,leave.leave_encashment,149
add new goal edit current goal,performance_and_development.how_to_add_or_edit_my_goals,350
add friend contact case emergency,staff_info_update.update_contact_info_and_address,418
add preferred name outlook,staff_info_update.i_have_recently_changed_my_name__how_do_i_update_it,414
add skill acquired job role,performance_and_development.how_do_i_assess_or_update_my_skills,348
add voluntary contribution ordo,payroll.can_i_change_my_orso_voluntary_contribution_rate,221
adjust leave balance shortfall notice period,offboarding.can_i_offset_my_notice_period,194
