,utterance,intent,intent1,pred_idx,pred_values,top_p1,top_p2,top_p3,top_class1,top_class2,top_class3,predictions1,predictions2,predictions3
10,i share portal,shares.how_to_join_ishares,398,290,people_hub.dbs_people_hub,0.5297333002090454,0.03238490968942642,0.027801351621747017,290,216,210,people_hub.dbs_people_hub,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.login_access_to_taleo
11,re organization,general_benefits.benefits,44,408,staff_info_update.change_in_reporting_manager,0.12993662059307098,0.039138756692409515,0.02810743823647499,408,212,41,staff_info_update.change_in_reporting_manager,onboarding.new_hire_profile,future_of_work.what_roles_are_impacted_due_to_future_of_work
12,how to self unlock password,onboarding.new_hire_1bank_password,211,211,onboarding.new_hire_1bank_password,0.6074623465538025,0.040740154683589935,0.03283700346946716,211,216,213,onboarding.new_hire_1bank_password,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.new_hire_staff_pass
13,hr circular,general_benefits.hr_circulars,48,48,general_benefits.hr_circulars,0.38723433017730713,0.038786355406045914,0.019858654588460922,48,51,322,general_benefits.hr_circulars,general_benefits.who_is_my_hr_rm,people_hub.how_to_view_org_chart_in_people_hub
14,can we buy a non dbs share,shares.how_to_join_ishares,398,407,shares.will_dbs_match_my_personal_dbsh_shares,0.21730110049247742,0.2137560397386551,0.10657217353582382,407,394,391,shares.will_dbs_match_my_personal_dbsh_shares,shares.how_can_i_find_out_the_price_of_a_dbsh_share,shares.crediting_of_contribution_shares
15,can i buy outside share,shares.will_dbs_match_my_personal_dbsh_shares,407,407,shares.will_dbs_match_my_personal_dbsh_shares,0.2720770239830017,0.16713804006576538,0.06572899222373962,407,391,395,shares.will_dbs_match_my_personal_dbsh_shares,shares.crediting_of_contribution_shares,shares.how_does_ishares_work
16,how to buy share,shares.how_to_join_ishares,398,391,shares.crediting_of_contribution_shares,0.12712298333644867,0.10090989619493484,0.10056543350219727,391,394,407,shares.crediting_of_contribution_shares,shares.how_can_i_find_out_the_price_of_a_dbsh_share,shares.will_dbs_match_my_personal_dbsh_shares
17,sell stock,shares.crediting_of_contribution_shares,391,391,shares.crediting_of_contribution_shares,0.46360132098197937,0.06676100194454193,0.06285388022661209,391,407,396,shares.crediting_of_contribution_shares,shares.will_dbs_match_my_personal_dbsh_shares,shares.how_is_the_share_price_determined
18,how can i cancel my rental application,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246,246,payroll.how_to_withdraw_from_rental_reimbursement_scheme,0.2719232141971588,0.21824195981025696,0.12861455976963043,246,227,233,payroll.how_to_withdraw_from_rental_reimbursement_scheme,payroll.documents_required_for_rental_reimbursement,payroll.how_to_apply_for_rental_reimbursement_scheme
19,how can i withdraw my rental application,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246,246,payroll.how_to_withdraw_from_rental_reimbursement_scheme,0.24908089637756348,0.20585067570209503,0.13893622159957886,246,227,233,payroll.how_to_withdraw_from_rental_reimbursement_scheme,payroll.documents_required_for_rental_reimbursement,payroll.how_to_apply_for_rental_reimbursement_scheme
20,how to withdraw from rental reimbursement scheme,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246,246,payroll.how_to_withdraw_from_rental_reimbursement_scheme,0.41373828053474426,0.1418384611606598,0.055640146136283875,246,227,276,payroll.how_to_withdraw_from_rental_reimbursement_scheme,payroll.documents_required_for_rental_reimbursement,payroll.what_is_rental_reimbursement
21,i would like to terminate my rental application what should i do,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246,246,payroll.how_to_withdraw_from_rental_reimbursement_scheme,0.3641459345817566,0.18041838705539703,0.08632400631904602,246,227,233,payroll.how_to_withdraw_from_rental_reimbursement_scheme,payroll.documents_required_for_rental_reimbursement,payroll.how_to_apply_for_rental_reimbursement_scheme
22,chinese new year off in lieu,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147,147,leave.how_do_i_claim_my_public_holiday_off-in-lieu,0.9639090299606323,0.005550614558160305,0.0023270382080227137,147,152,47,leave.how_do_i_claim_my_public_holiday_off-in-lieu,leave.list_of_public_holidays,general_benefits.festive_early_release
23,how can i withdraw the rental reimbursement scheme,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246,246,payroll.how_to_withdraw_from_rental_reimbursement_scheme,0.4278077185153961,0.13113251328468323,0.04711102321743965,246,227,276,payroll.how_to_withdraw_from_rental_reimbursement_scheme,payroll.documents_required_for_rental_reimbursement,payroll.what_is_rental_reimbursement
24,term of employment for new promote,onboarding.letter_of_appointment,209,103,internal_mobility.required_years_of_service_for_internal_mobility,0.07529200613498688,0.04879685118794441,0.03429592773318291,103,367,203,internal_mobility.required_years_of_service_for_internal_mobility,performance_and_development.manager_evaluation_for_new_hire_and_transfer_case,onboarding.arrangements_for_new_hire_prior_to_onboarding
25,staff corporate card,iprivileges.corporate_credit_card,104,104,iprivileges.corporate_credit_card,0.4084818959236145,0.22615866363048553,0.05118126422166824,104,184,116,iprivileges.corporate_credit_card,medical.what_is_an_e-card,iprivileges.personal_credit_cards_application
26,job referral,employee_referral_programme.one_name_each_guide,31,31,employee_referral_programme.one_name_each_guide,0.9044552445411682,0.004612065851688385,0.004406037274748087,31,179,428,employee_referral_programme.one_name_each_guide,medical.must_i_get_referral_from_gp_before_consulting_a_specialist,standard_letter_request.can_i_request_dbs_to_generate_invitation_letter_for_me
27,job referral,shares.how_to_join_ishares,398,31,employee_referral_programme.one_name_each_guide,0.9044552445411682,0.004612065851688385,0.004406037274748087,31,179,428,employee_referral_programme.one_name_each_guide,medical.must_i_get_referral_from_gp_before_consulting_a_specialist,standard_letter_request.can_i_request_dbs_to_generate_invitation_letter_for_me
28,cm fas exam claim,training.how_to_claim_cmfas_exam,469,469,training.how_to_claim_cmfas_exam,0.7117375135421753,0.030531547963619232,0.02090364135801792,469,473,471,training.how_to_claim_cmfas_exam,training.how_to_submit_gesp_claim,training.how_to_enrol_for_certificate_of_commercial_credit
29,how do i submit my claim for my exam paper,training.training_claims,483,171,medical.how_to_submit_medical_claim,0.22386771440505981,0.11394339799880981,0.05734137445688248,171,473,483,medical.how_to_submit_medical_claim,training.how_to_submit_gesp_claim,training.training_claims
30,bonus payslip,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.3578912317752838,0.26523345708847046,0.015194476582109928,282,274,7,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,compensation.how_is_the_group_and_unit_bonus_pool_determined
31,where to login to e storage,people_hub.dbs_people_hub,290,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.1420033574104309,0.11611217260360718,0.054032620042562485,216,210,133,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.login_access_to_taleo,itq_and_wetq.who_can_access_itq_wetq_portal
32,en cash leave,leave.leave_encashment,149,140,leave.can_i_take_leave,0.8675615787506104,0.0431346632540226,0.03421204909682274,140,329,149,leave.can_i_take_leave,people_hub.what_is_my_leave_balance,leave.leave_encashment
33,db sh share when i can take,shares.will_dbs_match_my_personal_dbsh_shares,407,407,shares.will_dbs_match_my_personal_dbsh_shares,0.20269089937210083,0.11577679216861725,0.0901293158531189,407,391,394,shares.will_dbs_match_my_personal_dbsh_shares,shares.crediting_of_contribution_shares,shares.how_can_i_find_out_the_price_of_a_dbsh_share
34,compensation,compensation.components_of_the_compensation_structure,3,8,compensation.how_to_access_the_year-end_comp_review,0.2724965214729309,0.059190794825553894,0.05622006952762604,8,14,3,compensation.how_to_access_the_year-end_comp_review,compensation.what_is_dbs_rewards_philosophy,compensation.components_of_the_compensation_structure
35,i be give share for compensation when will i get the share,shares.eligibility_criteria_for_ishares,393,396,shares.how_is_the_share_price_determined,0.2527885437011719,0.09777779877185822,0.06381570547819138,396,391,395,shares.how_is_the_share_price_determined,shares.crediting_of_contribution_shares,shares.how_does_ishares_work
36,i be give share by the bank,shares.eligibility_criteria_for_ishares,393,407,shares.will_dbs_match_my_personal_dbsh_shares,0.22439166903495789,0.20966579020023346,0.05774930864572525,407,391,400,shares.will_dbs_match_my_personal_dbsh_shares,shares.crediting_of_contribution_shares,shares.ishares_and_leaving_dbs_group
37,when i will be able to take my share give to me by the bank,shares.crediting_of_contribution_shares,391,400,shares.ishares_and_leaving_dbs_group,0.2099066823720932,0.1771813929080963,0.07325469702482224,400,391,407,shares.ishares_and_leaving_dbs_group,shares.crediting_of_contribution_shares,shares.will_dbs_match_my_personal_dbsh_shares
38,es,people_hub.dbs_people_hub,290,8,compensation.how_to_access_the_year-end_comp_review,0.04551457241177559,0.03394877538084984,0.030390629544854164,8,497,1,compensation.how_to_access_the_year-end_comp_review,training.where_do_i_do_complete_my_course_evaluation,compensation.cannot_view_year-end_comp_review
39,aw,general_benefits.benefits,44,217,payroll.annual_wage_supplement,0.2240494340658188,0.16603028774261475,0.03113190457224846,217,150,140,payroll.annual_wage_supplement,leave.leave_guidelines,leave.can_i_take_leave
40,forget pw,onboarding.new_hire_1bank_password,211,245,payroll.how_to_view_my_vpf_contribution,0.017401820048689842,0.0165860578417778,0.01624930463731289,245,440,439,payroll.how_to_view_my_vpf_contribution,talent_management.how_should_i_indicate_my_interest_to_be_my_guest,talent_management.host_a_be_my_guest_opportunity
41,pdp goal setting,performance_and_development.goal_setting_process,344,344,performance_and_development.goal_setting_process,0.6388745307922363,0.103078693151474,0.03878248855471611,344,381,350,performance_and_development.goal_setting_process,performance_and_development.what_constitutes_a_good_goal,performance_and_development.how_to_add_or_edit_my_goals
42,dbs email,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.29482465982437134,0.16487032175064087,0.05970853567123413,51,420,312,general_benefits.who_is_my_hr_rm,standard_letter_request.can_hr_prepare_a_letter_for_me,people_hub.how_to_update_contact_info_in_people_hub
43,dbs staff loan,iprivileges.staff_loans,119,119,iprivileges.staff_loans,0.2977357506752014,0.20232322812080383,0.05365835502743721,119,120,108,iprivileges.staff_loans,iprivileges.staff_personal_loan,iprivileges.further_assist_loan_for_employees_children
44,change line manager,staff_info_update.change_in_reporting_manager,408,408,staff_info_update.change_in_reporting_manager,0.4627559185028076,0.13615070283412933,0.009792945347726345,408,19,195,staff_info_update.change_in_reporting_manager,cwms.assignment_amendments_in_cwms,offboarding.cannot_trigger_3_tasks_after_tendering_resignation
45,dividend on invested share,shares.dividends_from_ishares,392,392,shares.dividends_from_ishares,0.560886800289154,0.033252473920583725,0.02464987337589264,392,400,391,shares.dividends_from_ishares,shares.ishares_and_leaving_dbs_group,shares.crediting_of_contribution_shares
46,dividend on invested share,shares.ishares_and_leaving_dbs_group,400,392,shares.dividends_from_ishares,0.560886800289154,0.033252473920583725,0.02464987337589264,392,400,391,shares.dividends_from_ishares,shares.ishares_and_leaving_dbs_group,shares.crediting_of_contribution_shares
47,be hospitalization leave consider block leave,leave.what_can_be_considered_as_block_leave,153,153,leave.what_can_be_considered_as_block_leave,0.8471235632896423,0.057180456817150116,0.006887545343488455,153,150,146,leave.what_can_be_considered_as_block_leave,leave.leave_guidelines,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph
48,goal setting,performance_and_development.goal_setting_process,344,344,performance_and_development.goal_setting_process,0.5283816456794739,0.25482022762298584,0.03058045543730259,344,381,350,performance_and_development.goal_setting_process,performance_and_development.what_constitutes_a_good_goal,performance_and_development.how_to_add_or_edit_my_goals
49,pip performance improvement plan,performance_and_development.performance_and_development,373,339,performance_and_development.cascading_of_goals_by_manager,0.1345984786748886,0.11899380385875702,0.11097487807273865,339,381,344,performance_and_development.cascading_of_goals_by_manager,performance_and_development.what_constitutes_a_good_goal,performance_and_development.goal_setting_process
50,performance improvement plan pip,performance_and_development.performance_and_development,373,344,performance_and_development.goal_setting_process,0.23033997416496277,0.12795285880565643,0.09470947086811066,344,381,339,performance_and_development.goal_setting_process,performance_and_development.what_constitutes_a_good_goal,performance_and_development.cascading_of_goals_by_manager
51,performance improvement plan,performance_and_development.performance_and_development,373,344,performance_and_development.goal_setting_process,0.5273739695549011,0.10310699790716171,0.08592226356267929,344,350,381,performance_and_development.goal_setting_process,performance_and_development.how_to_add_or_edit_my_goals,performance_and_development.what_constitutes_a_good_goal
52,t e policy,general_benefits.benefits,44,234,payroll.how_to_avail_flexi_pay_plan,0.3800172209739685,0.03108755685389042,0.01588715985417366,234,240,256,payroll.how_to_avail_flexi_pay_plan,payroll.how_to_generate_my_payslip,payroll.ns_make_up_pay
53,staff loan and mortgage,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.8905553817749023,0.005972315091639757,0.005261785816401243,118,117,120,iprivileges.staff_home_loan,iprivileges.staff_car_loan,iprivileges.staff_personal_loan
54,dbs career,internal_mobility.internal_mobility,97,93,internal_mobility.developing_my_career_in_dbs,0.45500990748405457,0.045058052986860275,0.02191709727048874,93,210,98,internal_mobility.developing_my_career_in_dbs,onboarding.login_access_to_taleo,internal_mobility.internal_mobility_application_process
55,where to get my lanyard,general_benefits.who_is_my_hr_rm,51,83,ihealth.how_to_connect_my_device_to_ihealth_app,0.06469805538654327,0.0266797486692667,0.016435176134109497,83,205,436,ihealth.how_to_connect_my_device_to_ihealth_app,onboarding.dress_code,standard_letter_request.how_can_i_get_a_replacement_work_pass_ep_ltvp_dependant_pass_s_pass
56,how to download tax form,payroll.view_form_ir8a,268,268,payroll.view_form_ir8a,0.8100636601448059,0.025423400104045868,0.009189905598759651,268,250,262,payroll.view_form_ir8a,payroll.individual_income_tax_reporting,payroll.tax_clearance_for_spr
57,pended request under spasm,escalation.escalation_cases,32,195,offboarding.cannot_trigger_3_tasks_after_tendering_resignation,0.03068500943481922,0.029140546917915344,0.02149231545627117,195,425,431,offboarding.cannot_trigger_3_tasks_after_tendering_resignation,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,standard_letter_request.can_i_request_dbs_to_generate_testimonial
58,cw staff termination,cwms.termination_or_cancellation_in_cwms,27,27,cwms.termination_or_cancellation_in_cwms,0.5869019627571106,0.037675682455301285,0.035046499222517014,27,197,298,cwms.termination_or_cancellation_in_cwms,offboarding.manager_to-do_list_for_employee_resignation,people_hub.how_to_approve_resignation_in_people_hub
59,vp transport allowance,payroll.transport_allowance,265,265,payroll.transport_allowance,0.8988595008850098,0.0017035220516845584,0.0014264823403209448,265,190,439,payroll.transport_allowance,medical.who_can_i_contact_if_i_injured_myself_at_work,talent_management.host_a_be_my_guest_opportunity
60,mis report,people_hub.how_to_view_org_chart_in_people_hub,322,409,staff_info_update.discrepancy_in_employees_dependants_personal_info,0.06604018807411194,0.025451745837926865,0.023602869361639023,409,372,324,staff_info_update.discrepancy_in_employees_dependants_personal_info,performance_and_development.notification_on_da_or_reminder_on_conduct_for_yer,people_hub.how_to_view_team_members_birthday_in_people_hub
61,increment letter,compensation.how_to_view_my_compensation_eletter,9,9,compensation.how_to_view_my_compensation_eletter,0.15207380056381226,0.07409936934709549,0.05783448368310928,9,420,10,compensation.how_to_view_my_compensation_eletter,standard_letter_request.can_hr_prepare_a_letter_for_me,compensation.how_to_view_my_team_compensation_eletters
62,staff benefit,general_benefits.benefits,44,44,general_benefits.benefits,0.6898214221000671,0.006999591365456581,0.006087147165089846,44,491,81,general_benefits.benefits,training.what_is_eap,ihealth.healthy_habit_challenges
63,what be es loan,iprivileges.staff_loans,119,119,iprivileges.staff_loans,0.19728827476501465,0.11985526233911514,0.11941667646169662,119,279,120,iprivileges.staff_loans,payroll.what_is_the_option_of_loan_against_pf,iprivileges.staff_personal_loan
64,find hr,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.8195704817771912,0.024523159489035606,0.01099423412233591,51,48,312,general_benefits.who_is_my_hr_rm,general_benefits.hr_circulars,people_hub.how_to_update_contact_info_in_people_hub
65,credit card limit increase,iprivileges.personal_credit_cards_application,116,116,iprivileges.personal_credit_cards_application,0.8202868103981018,0.06612681597471237,0.003665653755888343,116,104,184,iprivileges.personal_credit_cards_application,iprivileges.corporate_credit_card,medical.what_is_an_e-card
66,a mb active customers,ihealth.how_to_get_started_with_ihealth_mobile_app,85,51,general_benefits.who_is_my_hr_rm,0.057923607528209686,0.03927356004714966,0.030340880155563354,51,216,398,general_benefits.who_is_my_hr_rm,onboarding.when_will_the_new_hire_1bank_id_be_ready,shares.how_to_join_ishares
67,how to get preferred rate for home loan,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.9241785407066345,0.004584521520882845,0.0026417698245495558,118,271,117,iprivileges.staff_home_loan,payroll.what_is_car_lease_scheme,iprivileges.staff_car_loan
68,back date rental reimbursement,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246,227,payroll.documents_required_for_rental_reimbursement,0.2751103341579437,0.16952022910118103,0.16678306460380554,227,233,276,payroll.documents_required_for_rental_reimbursement,payroll.how_to_apply_for_rental_reimbursement_scheme,payroll.what_is_rental_reimbursement
69,rental payslip,payroll.what_is_rental_reimbursement,276,276,payroll.what_is_rental_reimbursement,0.4801155626773834,0.14423184096813202,0.11852975189685822,276,227,233,payroll.what_is_rental_reimbursement,payroll.documents_required_for_rental_reimbursement,payroll.how_to_apply_for_rental_reimbursement_scheme
70,rental retro,payroll.what_is_rental_reimbursement,276,276,payroll.what_is_rental_reimbursement,0.26856133341789246,0.1906738430261612,0.11156246066093445,276,227,233,payroll.what_is_rental_reimbursement,payroll.documents_required_for_rental_reimbursement,payroll.how_to_apply_for_rental_reimbursement_scheme
71,how to sell db sh share in china,shares.crediting_of_contribution_shares,391,394,shares.how_can_i_find_out_the_price_of_a_dbsh_share,0.24926723539829254,0.15783436596393585,0.06543098390102386,394,391,407,shares.how_can_i_find_out_the_price_of_a_dbsh_share,shares.crediting_of_contribution_shares,shares.will_dbs_match_my_personal_dbsh_shares
72,encasement of leave,leave.leave_encashment,149,149,leave.leave_encashment,0.9003069400787354,0.011855795979499817,0.011708959005773067,149,140,329,leave.leave_encashment,leave.can_i_take_leave,people_hub.what_is_my_leave_balance
73,how to sell dbs share in china,shares.crediting_of_contribution_shares,391,394,shares.how_can_i_find_out_the_price_of_a_dbsh_share,0.225798562169075,0.1732141077518463,0.06885843724012375,394,391,396,shares.how_can_i_find_out_the_price_of_a_dbsh_share,shares.crediting_of_contribution_shares,shares.how_is_the_share_price_determined
74,wet q minimum point,itq_and_wetq.how_to_assign_the_award_amount_for_wetq_nomination,128,274,payroll.what_is_my_bonus_pay_out_computation,0.05841503292322159,0.030963914468884468,0.030727168545126915,274,132,270,payroll.what_is_my_bonus_pay_out_computation,itq_and_wetq.recognition_in_dbs,payroll.vpf_contribution
75,pi,performance_and_development.performance_and_development,373,192,medical.why_is_there_a_medical_-_related_deduction_in_my_pay_slip,0.06315720081329346,0.02510073035955429,0.022862326353788376,192,283,247,medical.why_is_there_a_medical_-_related_deduction_in_my_pay_slip,payroll.when_will_i_get_my_pay,payroll.i_have_not_received_my_allowances_
76,bonus payout,payroll.what_is_my_bonus_pay_out_computation,274,274,payroll.what_is_my_bonus_pay_out_computation,0.5108780860900879,0.21754050254821777,0.030880842357873917,274,282,7,payroll.what_is_my_bonus_pay_out_computation,payroll.when_is_our_bonus_credited,compensation.how_is_the_group_and_unit_bonus_pool_determined
77,compliance requirement,general_benefits.benefits,44,486,training.training_hours,0.9668384790420532,0.004764442797750235,0.0008432685281150043,486,500,496,training.training_hours,training.will_i_get_compliance_hours_if_i_leave_have_left_halfway_through_the_course,training.where_can_i_view_my_completed_learning
78,team training manager,general_benefits.benefits,44,486,training.training_hours,0.12375622987747192,0.046333782374858856,0.042658574879169464,486,449,480,training.training_hours,training.can_managers_enroll_staff_for_courses,training.my_manager_would_like_to_attend_this_training_course__can_i_sign_up_on_his_her_behalf_in_dbs_learning_hub
79,apply for annual leave,leave.can_i_apply_back_dated_leave,137,140,leave.can_i_take_leave,0.9896180033683777,0.0023298689629882574,0.0011275006690993905,140,329,150,leave.can_i_take_leave,people_hub.what_is_my_leave_balance,leave.leave_guidelines
80,bonus senior officer,payroll.when_is_our_bonus_credited,282,8,compensation.how_to_access_the_year-end_comp_review,0.07911564409732819,0.06824938207864761,0.06541604548692703,8,274,32,compensation.how_to_access_the_year-end_comp_review,payroll.what_is_my_bonus_pay_out_computation,escalation.escalation_cases
81,bonus senior office,payroll.when_is_our_bonus_credited,282,32,escalation.escalation_cases,0.11881459504365921,0.11609009653329849,0.059486836194992065,32,274,7,escalation.escalation_cases,payroll.what_is_my_bonus_pay_out_computation,compensation.how_is_the_group_and_unit_bonus_pool_determined
82,i be stress one bot,escalation.escalation_cases,32,383,performance_and_development.what_is_management_of_risk__compliance_and_control_culture,0.04065876826643944,0.0295286662876606,0.022824807092547417,383,339,377,performance_and_development.what_is_management_of_risk__compliance_and_control_culture,performance_and_development.cascading_of_goals_by_manager,performance_and_development.request_for_hr_intervention_during_pdr
83,when will bonus be credit,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.7885961532592773,0.02308870106935501,0.00526107382029295,282,274,267,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,payroll.variable_sales_incentives
84,add photo,people_hub.how_to_change_my_photo_in_people_hub,299,299,people_hub.how_to_change_my_photo_in_people_hub,0.899276077747345,0.004919038154184818,0.002349380636587739,299,418,293,people_hub.how_to_change_my_photo_in_people_hub,staff_info_update.update_dependant_info,people_hub.how_to_add_newborns___childs_details_in_people_hub
85,bonus payment,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.5556446313858032,0.1872582584619522,0.012550842948257923,282,274,7,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,compensation.how_is_the_group_and_unit_bonus_pool_determined
86,payroll run,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.47737547755241394,0.20859526097774506,0.0799437090754509,240,283,259,payroll.how_to_generate_my_payslip,payroll.when_will_i_get_my_pay,payroll.payroll-related_questions
87,i would like get hr to apply for ca,general_benefits.who_is_my_hr_rm,51,425,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,0.08249109983444214,0.07072049379348755,0.05056453496217728,425,421,209,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,standard_letter_request.can_i_request_dbs_to_generate_a_letter_for_ltvp_application,onboarding.letter_of_appointment
88,vaccination programmer,training.who_is_my_business_learning_partner,498,174,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,0.42973875999450684,0.22885467112064362,0.0363420695066452,174,43,68,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,general_benefits.annual_health_screening,iflex.health_screening_claim
89,leave encasement policy,leave.leave_encashment,149,149,leave.leave_encashment,0.7322649955749512,0.11849785596132278,0.028219955042004585,149,150,140,leave.leave_encashment,leave.leave_guidelines,leave.can_i_take_leave
90,traditional chinese medicine,medical.tcm_generic,182,159,medical.can_i_make_dental_claims,0.21155217289924622,0.062075305730104446,0.03528508171439171,159,171,182,medical.can_i_make_dental_claims,medical.how_to_submit_medical_claim,medical.tcm_generic
91,cm management corporation,medical.tcm_generic,182,182,medical.tcm_generic,0.05833982676267624,0.05264680087566376,0.041553620249032974,182,160,51,medical.tcm_generic,medical.corporate_mediclaim_key_stakeholders,general_benefits.who_is_my_hr_rm
92,be management corporation from cm accept,medical.tcm_generic,182,427,standard_letter_request.can_i_request_dbs_to_generate_ep_renewal_letter_for_me,0.029382234439253807,0.028566788882017136,0.02473013661801815,427,398,426,standard_letter_request.can_i_request_dbs_to_generate_ep_renewal_letter_for_me,shares.how_to_join_ishares,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_service_for_me
93,or chart,people_hub.how_to_view_org_chart_in_people_hub,322,322,people_hub.how_to_view_org_chart_in_people_hub,0.1050417572259903,0.028148537501692772,0.020332109183073044,322,48,212,people_hub.how_to_view_org_chart_in_people_hub,general_benefits.hr_circulars,onboarding.new_hire_profile
94,appraisal,performance_and_development.performance_and_development,373,362,performance_and_development.how_to_start_my_pd_year-end_review,0.3298921287059784,0.1624232828617096,0.04270346835255623,362,385,358,performance_and_development.how_to_start_my_pd_year-end_review,performance_and_development.what_is_pd_year-end_review,performance_and_development.how_to_retrieve_my_submitted_pd_document
95,update on bonus,payroll.when_is_our_bonus_credited,282,274,payroll.what_is_my_bonus_pay_out_computation,0.29043230414390564,0.11251191794872284,0.05818941816687584,274,282,8,payroll.what_is_my_bonus_pay_out_computation,payroll.when_is_our_bonus_credited,compensation.how_to_access_the_year-end_comp_review
96,cw champion,cwms.what_is_cwms,29,21,cwms.cwf_pre_employment_screening,0.044452060014009476,0.03650535270571709,0.026367230340838432,21,8,82,cwms.cwf_pre_employment_screening,compensation.how_to_access_the_year-end_comp_review,ihealth.how_do_rewards_tiers_work
