,utterance,pred_idx,pred_values
136,bonus credit,150,leave.leave_guidelines
137,access card working,150,leave.leave_guidelines
138,home loan eligibility,150,leave.leave_guidelines
139,internal opportunity,150,leave.leave_guidelines
140,db home loan,150,leave.leave_guidelines
141,home loan assessment,150,leave.leave_guidelines
142,singapore holiday,150,leave.leave_guidelines
143,staggered reporting according staff id,150,leave.leave_guidelines
144,staggered working hour,150,leave.leave_guidelines
145,new joined welcome kit,150,leave.leave_guidelines
146,talk,150,leave.leave_guidelines
147,internal mail,150,leave.leave_guidelines
148,gift,150,leave.leave_guidelines
149,clicking pic page cannot loaded,150,leave.leave_guidelines
150,don boarding,150,leave.leave_guidelines
151,hr manager,150,leave.leave_guidelines
152,1 mar 20215 mar 2021,150,leave.leave_guidelines
153,compensation letter,150,leave.leave_guidelines
154,ordo voluntary contribution,150,leave.leave_guidelines
155,ordo voluntary contribution,150,leave.leave_guidelines
156,so transition allowance,150,leave.leave_guidelines
157,person investment policy,150,leave.leave_guidelines
158,many leave day carry forward,150,leave.leave_guidelines
159,convert staff housing loan commercial loan,150,leave.leave_guidelines
160,share change contribution amount,150,leave.leave_guidelines
161,hr guideline,150,leave.leave_guidelines
162,car lease scheme,150,leave.leave_guidelines
163,staff entertainment expense,150,leave.leave_guidelines
164,staff gift cap,150,leave.leave_guidelines
165,income tax saving lta lt,150,leave.leave_guidelines
166,many day leave bring next year,150,leave.leave_guidelines
167,vehicle lease policy,150,leave.leave_guidelines
168,preferential rate accorded,150,leave.leave_guidelines
169,staff mortgage life insurance,150,leave.leave_guidelines
170,list ifs,150,leave.leave_guidelines
171,rental,150,leave.leave_guidelines
172,car park,150,leave.leave_guidelines
173,employment contract,150,leave.leave_guidelines
174,car lease policy faq,150,leave.leave_guidelines
175,birthday,150,leave.leave_guidelines
176,internal mailing,150,leave.leave_guidelines
177,find buck id,150,leave.leave_guidelines
178,cbo value map,150,leave.leave_guidelines
179,unable access db recruiting hub,150,leave.leave_guidelines
180,error entitled use system,150,leave.leave_guidelines
181,set team hand,150,leave.leave_guidelines
182,termination date,150,leave.leave_guidelines
183,hr letter car loan,150,leave.leave_guidelines
184,leave endash,150,leave.leave_guidelines
185,bonus paid,150,leave.leave_guidelines
186,tale,150,leave.leave_guidelines
187,career portal,150,leave.leave_guidelines
188,past year pd,150,leave.leave_guidelines
189,early release,150,leave.leave_guidelines
190,w01gccvpapp8are11bankdbscom8443sgibadminportal,150,leave.leave_guidelines
191,internal transfer,150,leave.leave_guidelines
192,know current employee ordo contribution,150,leave.leave_guidelines
193,know currency ordo contribution,150,leave.leave_guidelines
194,2021 promotion,150,leave.leave_guidelines
195,db automated identity management system,150,leave.leave_guidelines
196,get hr circular,150,leave.leave_guidelines
197,apply birthday leave,150,leave.leave_guidelines
198,po required access dag,150,leave.leave_guidelines
199,hi check ordo plan want know current employee contribution rate thanks,150,leave.leave_guidelines
200,special award share,150,leave.leave_guidelines
201,get aia mobile app,150,leave.leave_guidelines
202,get holiday may day,150,leave.leave_guidelines
203,p,150,leave.leave_guidelines
204,leave lieu,150,leave.leave_guidelines
205,apply 1 day leave,150,leave.leave_guidelines
206,aimsystem,150,leave.leave_guidelines
207,bonus paid,150,leave.leave_guidelines
208,link tale,150,leave.leave_guidelines
209,db contribute monthly cash amount equivalent 25 contribution happen waiting period,150,leave.leave_guidelines
210,myworkdaydbs,150,leave.leave_guidelines
211,weekday,150,leave.leave_guidelines
212,share award,150,leave.leave_guidelines
213,special award compensation,150,leave.leave_guidelines
214,special award,150,leave.leave_guidelines
215,download appointment letter,150,leave.leave_guidelines
216,forgot signed ordo scheme mp time joining db,150,leave.leave_guidelines
217,hi got question regarding change ordo voluntary contribution,150,leave.leave_guidelines
218,hr rm,150,leave.leave_guidelines
219,hr rm,150,leave.leave_guidelines
220,special award hr,150,leave.leave_guidelines
221,staff pas,150,leave.leave_guidelines
222,configure staff pas,150,leave.leave_guidelines
223,it shown,150,leave.leave_guidelines
224,submitting medical certificate,150,leave.leave_guidelines
225,annual leave carried 2020,150,leave.leave_guidelines
226,view completed training,150,leave.leave_guidelines
227,leave encampment policy,150,leave.leave_guidelines
228,long pay share,150,leave.leave_guidelines
229,leave db share automatically sold,150,leave.leave_guidelines
230,stock,150,leave.leave_guidelines
231,neonatal leaf,150,leave.leave_guidelines
232,upload document ph,150,leave.leave_guidelines
233,bonus payout credited,150,leave.leave_guidelines
234,hr hotline,150,leave.leave_guidelines
235,change 1bank pw bb em,150,leave.leave_guidelines
236,pay outstanding amount,150,leave.leave_guidelines
237,app manager declaration,150,leave.leave_guidelines
238,return corporate phone upon resignation,150,leave.leave_guidelines
239,pay corporate credit card outstanding,150,leave.leave_guidelines
240,reimbursement learning development fee,150,leave.leave_guidelines
241,check ld fee,150,leave.leave_guidelines
242,apply leave new year eve,150,leave.leave_guidelines
243,t market,150,leave.leave_guidelines
244,variable wage supplement,150,leave.leave_guidelines
245,mapping access,150,leave.leave_guidelines
246,human resource policy,150,leave.leave_guidelines
247,charge bolt ease,150,leave.leave_guidelines
248,see inline,150,leave.leave_guidelines
249,sica membership,150,leave.leave_guidelines
250,membership claim,150,leave.leave_guidelines
251,professional body membership subscription,150,leave.leave_guidelines
252,sica membership claim,150,leave.leave_guidelines
253,claim professional membership,150,leave.leave_guidelines
254,view payslip,150,leave.leave_guidelines
255,retrieve system cv,150,leave.leave_guidelines
256,retrieve cv,150,leave.leave_guidelines
257,pm leave time,150,leave.leave_guidelines
258,pm leave start time,150,leave.leave_guidelines
259,development plan,150,leave.leave_guidelines
260,guided compensation package,150,leave.leave_guidelines
261,boarding toolkit,150,leave.leave_guidelines
262,hr question,150,leave.leave_guidelines
263,view 2018 bonus letter,150,leave.leave_guidelines
264,view past year bonus letter,150,leave.leave_guidelines
265,obtain past year letter,150,leave.leave_guidelines
266,advanced pay,150,leave.leave_guidelines
267,ac worker po,150,leave.leave_guidelines
268,budget contract staff,150,leave.leave_guidelines
269,resignation bonus,150,leave.leave_guidelines
270,claim overtime fh,150,leave.leave_guidelines
271,rt worker timeline,150,leave.leave_guidelines
272,contract staff timeline,150,leave.leave_guidelines
273,sell share,150,leave.leave_guidelines
274,db rank order,150,leave.leave_guidelines
275,bonus letter,150,leave.leave_guidelines
276,bg head tech,150,leave.leave_guidelines
277,leave endash upon resignation,150,leave.leave_guidelines
278,take compassionate leave separately,150,leave.leave_guidelines
279,retrieve monthly salary record,150,leave.leave_guidelines
280,country risk management,150,leave.leave_guidelines
281,find country risk,150,leave.leave_guidelines
282,hr benefit,150,leave.leave_guidelines
283,payment election,150,leave.leave_guidelines
284,covid vaccine,150,leave.leave_guidelines
285,overtime pay,150,leave.leave_guidelines
286,tax,150,leave.leave_guidelines
287,much claim traditional chinese medicine,150,leave.leave_guidelines
288,increase pf percentage,150,leave.leave_guidelines
289,increase provide fund percentage,150,leave.leave_guidelines
290,overtime taxi claim,150,leave.leave_guidelines
291,overtime transport allowance,150,leave.leave_guidelines
292,diff branch stand,150,leave.leave_guidelines
293,db bank diff branch,150,leave.leave_guidelines
294,want check completion status learning,150,leave.leave_guidelines
295,ot taxi claim,150,leave.leave_guidelines
296,overtime transport,150,leave.leave_guidelines
297,set meeting,150,leave.leave_guidelines
298,contact full,150,leave.leave_guidelines
299,lta,150,leave.leave_guidelines
300,promotion criterion,150,leave.leave_guidelines
301,skill,150,leave.leave_guidelines
302,staff reno loan,150,leave.leave_guidelines
303,career planning,150,leave.leave_guidelines
304,job profile,150,leave.leave_guidelines
305,different job coin,150,leave.leave_guidelines
306,compensation grade,150,leave.leave_guidelines
307,form flex work arrangement,150,leave.leave_guidelines
308,guided minimum pay people hub,150,leave.leave_guidelines
309,market wage range rank db,150,leave.leave_guidelines
310,minimum pay published people hub,150,leave.leave_guidelines
311,market,150,leave.leave_guidelines
312,jeffrey,150,leave.leave_guidelines
313,agnes,150,leave.leave_guidelines
314,wage range,150,leave.leave_guidelines
315,access db portal mobile,150,leave.leave_guidelines
316,want reach hr,150,leave.leave_guidelines
317,base salary,150,leave.leave_guidelines
318,minimum pay,150,leave.leave_guidelines
319,find old compensation letter,150,leave.leave_guidelines
320,may get leave calendar,150,leave.leave_guidelines
321,salary benchmark,150,leave.leave_guidelines
322,guided minimum pay published people hub,150,leave.leave_guidelines
323,ga program,150,leave.leave_guidelines
324,bonus,150,leave.leave_guidelines
325,push gupta,150,leave.leave_guidelines
326,sn number,150,leave.leave_guidelines
327,find staff benefit,150,leave.leave_guidelines
328,see guided minimum salary,150,leave.leave_guidelines
329,weekday minimum salary guide,150,leave.leave_guidelines
330,find guided minimum,150,leave.leave_guidelines
331,internal referral process,150,leave.leave_guidelines
332,process rit,150,leave.leave_guidelines
333,approach pb hr,150,leave.leave_guidelines
334,guided minimum weekday,150,leave.leave_guidelines
335,check salary,150,leave.leave_guidelines
336,update staff information,150,leave.leave_guidelines
337,check medical claim balance,150,leave.leave_guidelines
338,retirement age db,150,leave.leave_guidelines
339,testing share,150,leave.leave_guidelines
340,any lieu,150,leave.leave_guidelines
341,httpscyberarksgpdbscompasswordvaultlogonaspxreturnurl2fpasswordvault2fdefaultaspx,150,leave.leave_guidelines
342,https1067234860443ichampichangeactiongoaheadandlogout,150,leave.leave_guidelines
343,connect mobile phone db,150,leave.leave_guidelines
344,contact number share,150,leave.leave_guidelines
345,release management,150,leave.leave_guidelines
346,resign today last day,150,leave.leave_guidelines
347,encampment,150,leave.leave_guidelines
348,late card payment,150,leave.leave_guidelines
349,appeal finance charge,150,leave.leave_guidelines
350,credit card late payment fee,150,leave.leave_guidelines
351,credit card appeal,150,leave.leave_guidelines
352,universal naming convention,150,leave.leave_guidelines
353,apply lieu,150,leave.leave_guidelines
354,chinese new year lieu added leave,150,leave.leave_guidelines
355,unable access people hub,150,leave.leave_guidelines
356,unable sign db website,150,leave.leave_guidelines
357,pump milk,150,leave.leave_guidelines
358,room mother pump milk,150,leave.leave_guidelines
359,carry forward annual leave,150,leave.leave_guidelines
360,update mobile number onebank,150,leave.leave_guidelines
361,share,150,leave.leave_guidelines
362,attire,150,leave.leave_guidelines
363,cab,150,leave.leave_guidelines
364,bu,150,leave.leave_guidelines
365,aws deepwater,150,leave.leave_guidelines
366,singing,150,leave.leave_guidelines
367,copy bookmark,150,leave.leave_guidelines
368,find asked,150,leave.leave_guidelines
369,working home send pf transfer pf nomination gravity nomination pip form personal email address take print send detail completing boarding process,150,leave.leave_guidelines
370,retirement age,150,leave.leave_guidelines
371,hi team email asking submit hard copy investment proof manually pls advise send hard copy date thank,150,leave.leave_guidelines
372,register health,150,leave.leave_guidelines
373,recruit hub access,150,leave.leave_guidelines
374,pf related,150,leave.leave_guidelines
375,notice period rank,150,leave.leave_guidelines
376,sample payslip,150,leave.leave_guidelines
377,management allowance claim,150,leave.leave_guidelines
378,transaction reference co,150,leave.leave_guidelines
379,apply block leave,150,leave.leave_guidelines
380,get paid notice period,150,leave.leave_guidelines
381,entitled get share,150,leave.leave_guidelines
382,many month notice period provided,150,leave.leave_guidelines
383,apply back dated leave,150,leave.leave_guidelines
384,problem modification system application dam,150,leave.leave_guidelines
385,club membership,150,leave.leave_guidelines
386,find hr person employee,150,leave.leave_guidelines
387,check hr employee,150,leave.leave_guidelines
388,hr restriction,150,leave.leave_guidelines
389,full hr policy,150,leave.leave_guidelines
390,fault reporting,150,leave.leave_guidelines
391,hr policy external commitment,150,leave.leave_guidelines
392,type exchange password,150,leave.leave_guidelines
393,sep,150,leave.leave_guidelines
394,digital signature,150,leave.leave_guidelines
395,httpswebstudiodocsdevappscssgpdbscomcorecomponentsinputstextarea,150,leave.leave_guidelines
396,internal role,150,leave.leave_guidelines
397,happy birthday,150,leave.leave_guidelines
398,talk boarding,150,leave.leave_guidelines
399,abtdbsgsmcallqrywhichmarkets10,150,leave.leave_guidelines
400,letter head,150,leave.leave_guidelines
401,card,150,leave.leave_guidelines
402,dash share administrator,150,leave.leave_guidelines
403,d,150,leave.leave_guidelines
404,hire contract staff,150,leave.leave_guidelines
405,hire new contract staff,150,leave.leave_guidelines
406,svn checklist,150,leave.leave_guidelines
407,staff convert,150,leave.leave_guidelines
408,payoff car loan,150,leave.leave_guidelines
409,cannot access release portal,150,leave.leave_guidelines
410,hr circular,150,leave.leave_guidelines
411,contingent workforce cf staff pas,150,leave.leave_guidelines
412,share sell,150,leave.leave_guidelines
413,selfservice portal accepting credential,150,leave.leave_guidelines
414,existing perm bank contract staff pas,150,leave.leave_guidelines
415,hr employment policy,150,leave.leave_guidelines
416,outsourcing risk committee,150,leave.leave_guidelines
417,list application,150,leave.leave_guidelines
418,india holiday,150,leave.leave_guidelines
419,eligibility share,150,leave.leave_guidelines
420,need speak tech,150,leave.leave_guidelines
421,speak tech,150,leave.leave_guidelines
422,speak agent,150,leave.leave_guidelines
423,cant find dash share,150,leave.leave_guidelines
424,v letter,150,leave.leave_guidelines
425,share link,150,leave.leave_guidelines
426,tax statement submitted iran,150,leave.leave_guidelines
427,dac,150,leave.leave_guidelines
428,bonus,150,leave.leave_guidelines
429,share faq,150,leave.leave_guidelines
430,staff update,150,leave.leave_guidelines
431,new hire access laptop due expired password,150,leave.leave_guidelines
432,staff forgotten change 1bank password expired,150,leave.leave_guidelines
433,someone else approve behalf cm,150,leave.leave_guidelines
434,line,150,leave.leave_guidelines
435,may get perm contract,150,leave.leave_guidelines
436,hi db leadership perspective 25 feb,150,leave.leave_guidelines
437,request meta reporting line,150,leave.leave_guidelines
438,mar,150,leave.leave_guidelines
439,contract rifle health insurance,150,leave.leave_guidelines
440,wish find detail staff promo additional 05 pa top staff preferential rate could please advise go registration,150,leave.leave_guidelines
441,use lieu,150,leave.leave_guidelines
442,take lieu,150,leave.leave_guidelines
443,change cf contribution,150,leave.leave_guidelines
444,to mayor dah,150,leave.leave_guidelines
445,score card,150,leave.leave_guidelines
446,staff completed goal setting,150,leave.leave_guidelines
447,know staff completed goal setting,150,leave.leave_guidelines
448,submit mc,150,leave.leave_guidelines
449,referring friend,150,leave.leave_guidelines
450,upload attachment file weekday,150,leave.leave_guidelines
451,attach external file mail,150,leave.leave_guidelines
452,payslip,150,leave.leave_guidelines
453,group human resource,150,leave.leave_guidelines
454,salary tax report,150,leave.leave_guidelines
455,psg guide,150,leave.leave_guidelines
456,hr relationship partner,150,leave.leave_guidelines
457,hr partner,150,leave.leave_guidelines
458,one tab log,150,leave.leave_guidelines
459,get db lettered,150,leave.leave_guidelines
460,staff spouse granada passed away entitled compassionate leave,150,leave.leave_guidelines
461,spouse granada passed away staff entitled compassionate leave,150,leave.leave_guidelines
462,unable load application,150,leave.leave_guidelines
463,nonsolicitation,150,leave.leave_guidelines
464,one query related sick leave,150,leave.leave_guidelines
465,get bank approved list solicitor mortgage,150,leave.leave_guidelines
466,glow stand,150,leave.leave_guidelines
467,know glow,150,leave.leave_guidelines
468,glow refer,150,leave.leave_guidelines
469,online loan application form,150,leave.leave_guidelines
470,institutional banking group,150,leave.leave_guidelines
471,view team goal development plan completion status,150,leave.leave_guidelines
472,new segment,150,leave.leave_guidelines
473,new product,150,leave.leave_guidelines
474,new channel,150,leave.leave_guidelines
475,highlevel estimate,150,leave.leave_guidelines
476,high potential,150,leave.leave_guidelines
477,new bank,150,leave.leave_guidelines
478,nonprofit nongovernmental organisation,150,leave.leave_guidelines
479,new product approval,150,leave.leave_guidelines
480,global customer identification number,150,leave.leave_guidelines
481,life pro tip,150,leave.leave_guidelines
482,letter authorisation indemnity,150,leave.leave_guidelines
483,functional specification document,150,leave.leave_guidelines
484,know customer,150,leave.leave_guidelines
485,key visual,150,leave.leave_guidelines
486,key risk indicator,150,leave.leave_guidelines
487,financial authorisation system,150,leave.leave_guidelines
488,existing bank,150,leave.leave_guidelines
489,electronic share application,150,leave.leave_guidelines
490,individual development plan,150,leave.leave_guidelines
491,equity,150,leave.leave_guidelines
492,joined bank 24 february receive goal development plan people hub index complete goal setting,150,leave.leave_guidelines
493,new hire complete goal setting,150,leave.leave_guidelines
494,long leave cannot submit goal time,150,leave.leave_guidelines
495,returned long leave may missed deadline completing goal development plan,150,leave.leave_guidelines
496,going approve goal bos long leave,150,leave.leave_guidelines
497,approve goal bos pay leave,150,leave.leave_guidelines
498,balance transfer,150,leave.leave_guidelines
499,multicurrency account,150,leave.leave_guidelines
500,relationship manager,150,leave.leave_guidelines
501,live validation,150,leave.leave_guidelines
502,thank,150,leave.leave_guidelines
503,application management service,150,leave.leave_guidelines
504,last birthday,150,leave.leave_guidelines
505,processing,150,leave.leave_guidelines
506,process flow chart,150,leave.leave_guidelines
507,help desk num,150,leave.leave_guidelines
508,usability test,150,leave.leave_guidelines
509,user requirement,150,leave.leave_guidelines
510,secured loan,150,leave.leave_guidelines
511,transformation sprint,150,leave.leave_guidelines
512,target market risk acceptance criterion,150,leave.leave_guidelines
513,tango session cross unit collaboration,150,leave.leave_guidelines
514,technology operation,150,leave.leave_guidelines
515,selfservice banking,150,leave.leave_guidelines
516,risk profiling questionnaire,150,leave.leave_guidelines
517,risk control self assessment,150,leave.leave_guidelines
518,project steering committee,150,leave.leave_guidelines
519,project portfolio management,150,leave.leave_guidelines
520,push notification,150,leave.leave_guidelines
521,project management office,150,leave.leave_guidelines
522,private banking,150,leave.leave_guidelines
523,foreign exchange,150,leave.leave_guidelines
524,fixed deposit,150,leave.leave_guidelines
525,final artwork,150,leave.leave_guidelines
526,retrieve submitted pd document,150,leave.leave_guidelines
527,reset weber password,150,leave.leave_guidelines
528,view submitted pd doc direct report,150,leave.leave_guidelines
529,past pd document,150,leave.leave_guidelines
530,see team historical ki,150,leave.leave_guidelines
531,view submitted goal setting document,150,leave.leave_guidelines
532,view goal setting submitted bos,150,leave.leave_guidelines
533,sup bro,150,leave.leave_guidelines
534,employee assistance program part employee benefit,150,leave.leave_guidelines
535,tollfree number employee assistance program,150,leave.leave_guidelines
536,online counselling covered part eap program,150,leave.leave_guidelines
537,get login detail eap,150,leave.leave_guidelines
538,eap,150,leave.leave_guidelines
539,receive damaged book bench library,150,leave.leave_guidelines
540,process cancel bench library service membership,150,leave.leave_guidelines
541,kind book available bench mobile library,150,leave.leave_guidelines
542,bench mobile library service,150,leave.leave_guidelines
543,ep available payslip,150,leave.leave_guidelines
544,check an detail db,150,leave.leave_guidelines
545,maintain pf account dah2,150,leave.leave_guidelines
546,calculate car lease scheme,150,leave.leave_guidelines
547,get noc document completing lease tenure,150,leave.leave_guidelines
548,poc vehicle lease,150,leave.leave_guidelines
549,grade eligibility,150,leave.leave_guidelines
550,entitlement vehicle lease,150,leave.leave_guidelines
551,car lease scheme,150,leave.leave_guidelines
552,pf nomination cum declaration form,150,leave.leave_guidelines
553,process download upload pf nomination form portal,150,leave.leave_guidelines
554,query released pf enrollment form contact,150,leave.leave_guidelines
555,pf declaration form,150,leave.leave_guidelines
556,document required provide fund enrollment,150,leave.leave_guidelines
557,enroll pf,150,leave.leave_guidelines
558,process download pf enrollment document,150,leave.leave_guidelines
559,pf enrollment process,150,leave.leave_guidelines
560,health,150,leave.leave_guidelines
561,poc emergency visit doctor,150,leave.leave_guidelines
562,physical available maverick,150,leave.leave_guidelines
563,doctor available week,150,leave.leave_guidelines
564,physician contact number,150,leave.leave_guidelines
565,emergency doctor located dil,150,leave.leave_guidelines
566,avail insurance ambulance service,150,leave.leave_guidelines
567,ambulance service near,150,leave.leave_guidelines
568,paramedic equipment available ambulance,150,leave.leave_guidelines
569,soon ambulance service assist emergency,150,leave.leave_guidelines
570,ambulance service,150,leave.leave_guidelines
571,age criterion child considered daycare policy,150,leave.leave_guidelines
572,poc daycare benefit,150,leave.leave_guidelines
573,want book leave,150,leave.leave_guidelines
574,provides daycare service,150,leave.leave_guidelines
575,create daycare,150,leave.leave_guidelines
576,daycare policy,150,leave.leave_guidelines
577,agency contractor definition,150,leave.leave_guidelines
578,ac worker,150,leave.leave_guidelines
579,m worker,150,leave.leave_guidelines
580,accessmanagementmanageallmyrequestinuams,150,leave.leave_guidelines
581,avail daycare benefit,150,leave.leave_guidelines
582,query raise childcare portal,150,leave.leave_guidelines
583,already parent tied day care still follow process,150,leave.leave_guidelines
584,poc daycare db,150,leave.leave_guidelines
585,daycare partner,150,leave.leave_guidelines
586,happens salary benefit part time,150,leave.leave_guidelines
587,db employee opt part time,150,leave.leave_guidelines
588,part time weekly working hour,150,leave.leave_guidelines
589,part time policy,150,leave.leave_guidelines
590,benefit part time employee db,150,leave.leave_guidelines
591,eligibility part time,150,leave.leave_guidelines
592,advantage part time employment,150,leave.leave_guidelines
593,flexibility part time,150,leave.leave_guidelines
594,part time,150,leave.leave_guidelines
595,pf enrollment process,150,leave.leave_guidelines
596,meta staff new manager,150,leave.leave_guidelines
597,peer leave calendar,150,leave.leave_guidelines
598,check leave balance,150,leave.leave_guidelines
599,leave calendar,150,leave.leave_guidelines
600,boy rating,150,leave.leave_guidelines
601,mc medical appointment,150,leave.leave_guidelines
602,reminder complete year end review,150,leave.leave_guidelines
603,resigned print payslip,150,leave.leave_guidelines
604,changing date birth,150,leave.leave_guidelines
605,annual leave part notice period,150,leave.leave_guidelines
606,live fresh card,150,leave.leave_guidelines
607,libraryptallbizappsmfas,150,leave.leave_guidelines
608,libraryptallglossarynpa,150,leave.leave_guidelines
609,libraryptallglossarynca,150,leave.leave_guidelines
610,see pay,150,leave.leave_guidelines
611,updated salary slip,150,leave.leave_guidelines
612,submit overtime claim,150,leave.leave_guidelines
613,portal share,150,leave.leave_guidelines
614,share page,150,leave.leave_guidelines
615,pay,150,leave.leave_guidelines
616,vehicle finance policy,150,leave.leave_guidelines
617,accessmanagementupdateaccessmatrixforapplicationsinuams,150,leave.leave_guidelines
618,extension worker,150,leave.leave_guidelines
619,service hr,150,leave.leave_guidelines
620,assignment id,150,leave.leave_guidelines
621,extend staff pas,150,leave.leave_guidelines
